Now printing unsorted
32, 31, 30, 29, 28, 27, 25, 26, 24, 23, 22, 21, 20, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
Now sorting with insertion sort:
31, 32, 30, 29, 28, 27, 25, 26, 24, 23, 22, 21, 20, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
30, 31, 32, 29, 28, 27, 25, 26, 24, 23, 22, 21, 20, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
29, 30, 31, 32, 28, 27, 25, 26, 24, 23, 22, 21, 20, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
28, 29, 30, 31, 32, 27, 25, 26, 24, 23, 22, 21, 20, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
27, 28, 29, 30, 31, 32, 25, 26, 24, 23, 22, 21, 20, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
25, 27, 28, 29, 30, 31, 32, 26, 24, 23, 22, 21, 20, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
25, 26, 27, 28, 29, 30, 31, 32, 24, 23, 22, 21, 20, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
24, 25, 26, 27, 28, 29, 30, 31, 32, 23, 22, 21, 20, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 22, 21, 20, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 21, 20, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 20, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 19, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 27, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
19, 20, 21, 22, 23, 24, 25, 26, 27, 27, 28, 29, 30, 31, 32, 18, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 27, 28, 29, 30, 31, 32, 16, 15, 14, 12, 13, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1, 
